Depth [L],In_Flow [L^3 T^-1],Out_Flow [L^3 T^-1],Upper depth bound [L],Lower depth bound [L]
18.75,0.5,-0.5,18.75,21.25
21.25,0.5,-0.5,21.25,23.75
23.75,0.5,-0.5,23.75,26.25
26.25,0.5,-0.5,26.25,28.75
28.75,0.5,-0.5,28.75,31.25
31.25,0.5,-0.5,31.25,33.75
33.75,0.5,-0.5,33.75,36.25
36.25,0.5,-0.5,36.25,38.75
38.75,0.5,-0.5,38.75,41.25
41.25,0.5,-0.5,41.25,43.75
43.75,0.5,-0.5,43.75,46.25
46.25,0.5,-0.5,46.25,48.75
48.75,0.5,-0.5,48.75,51.25
51.25,0.5,-0.5,51.25,53.75
53.75,0.5,-0.5,53.75,56.25
56.25,0.5,-0.5,56.25,58.75
58.75,0.5,-0.5,58.75,61.25
61.25,0.5,-0.5,61.25,63.75
63.75,0.5,-0.5,63.75,66.25
66.25,0.5,-0.5,66.25,68.75
68.75,0.5,-0.5,68.75,71.25
71.25,0.5,-0.5,71.25,73.75
